,Transaction_ID,Sale_Date,Shoe_Model,Colorway,Condition,Retail_Price_USD,Resale_Price_USD,Sales_Channel,Days_in_Inventory,Profit_Margin_USD
1440,TRX-101441,2023-12-31,Air Jordan 11 Retro,Mocha,Deadstock (Brand New),228.0,433.66,stockx,13.0,205.66000000000005
1441,TRX-101442,2025-07-16,Air Jordan 3 Retro,Mocha,Deadstock (Brand New),200.0,616.43,walk-in retail,37.0,416.43
1442,TRX-101443,2024-07-29,Air Jordan 1 High,Concord,Deadstock (Brand New),190.0,462.97,stadium goods,42.0,272.97
1443,TRX-101444,2025-02-28,Air Jordan 1 Low,Chicago,Deadstock (Brand New),131.0,310.09,walk-in retail,54.0,179.08999999999995
1444,TRX-101445,2023-06-09,Air Jordan 11 Retro,Mocha,Deadstock (Brand New),230.0,697.81,stockx,5.0,467.81
1445,TRX-101446,2023-02-07,Air Jordan 3 Retro,Chicago,Deadstock (Brand New),205.0,329.05,kick hub 2026,45.0,124.05
1446,TRX-101447,2023-09-14,Air Jordan 1 Low,Black Cat,Deadstock (Brand New),121.0,248.38,kick hub 2026,43.0,127.38
1447,TRX-101448,2024-12-10,Air Jordan 1 Low,Sail,Deadstock (Brand New),111.0,272.46,kick hub 2026,10.0,161.45999999999998
1448,TRX-101449,2025-06-07,Air Jordan 1 Low,Pine Green,Used,131.0,86.18,kick hub 2026,58.0,-44.81999999999999
1449,TRX-101450,2023-01-29,Air Jordan 4 Retro,Chicago,Used,216.0,186.39,kick hub 2026,40.0,-29.610000000000014
1450,TRX-101451,2025-03-07,Air Jordan 1 Low,Concord,Deadstock (Brand New),134.0,242.95,stadium goods,55.0,108.95
1451,TRX-101452,2025-05-19,Air Jordan 4 Retro,Concord,VNDS (Very Near Deadstock),216.0,211.05,stockx,14.0,-4.949999999999989
1452,TRX-101453,2025-06-05,Air Jordan 4 Retro,Black Cat,Deadstock (Brand New),223.0,343.94,goat,6.0,120.94
1453,TRX-101454,2025-03-08,Air Jordan 1 Low,Chicago,Deadstock (Brand New),121.0,216.18,stadium goods,6.0,95.18
1454,TRX-101455,2023-01-02,Air Jordan 3 Retro,Black Cat,VNDS (Very Near Deadstock),209.0,240.57,stockx,13.0,31.569999999999997
1455,TRX-101456,2025-04-16,Air Jordan 11 Retro,Mocha,Deadstock (Brand New),226.0,691.84,kick hub 2026,60.0,465.84
1456,TRX-101457,2023-04-26,Air Jordan 11 Retro,Mocha,VNDS (Very Near Deadstock),230.0,270.92,stockx,13.0,40.920000000000016
1457,TRX-101458,2024-03-30,Air Jordan 3 Retro,Concord,VNDS (Very Near Deadstock),207.0,192.15,kick hub 2026,20.0,-14.849999999999994
1458,TRX-101459,2024-07-23,Air Jordan 3 Retro,Black Cat,VNDS (Very Near Deadstock),203.0,247.08,kick hub 2026,6.0,44.08000000000001
1459,TRX-101460,2024-03-25,Air Jordan 11 Retro,Lost & Found,VNDS (Very Near Deadstock),226.0,212.57,goat,6.0,-13.430000000000009
1460,TRX-101461,2023-01-04,Air Jordan 1 Low,Sail,Deadstock (Brand New),114.0,276.66,walk-in retail,8.0,162.66000000000005
1461,TRX-101462,2024-08-26,Air Jordan 1 Low,Military Blue,VNDS (Very Near Deadstock),140.0,143.5,kick hub 2026,22.0,3.5
1462,TRX-101463,2023-01-31,Air Jordan 11 Retro,Military Blue,Used,225.0,178.9,walk-in retail,44.0,-46.1
1463,TRX-101464,2023-07-10,Air Jordan 1 Low,Concord,Deadstock (Brand New),127.0,254.37,kick hub 2026,20.0,127.37
1464,TRX-101465,2023-09-23,Air Jordan 1 Low,Black Cat,VNDS (Very Near Deadstock),129.0,152.7,kick hub 2026,38.0,23.69999999999999
1465,TRX-101466,2023-04-02,Air Jordan 1 High,Concord,Used,173.0,145.79,stockx,7.0,-27.210000000000008
1466,TRX-101467,2025-04-08,Air Jordan 4 Retro,Concord,Deadstock (Brand New),220.0,551.75,stockx,6.0,331.75
1467,TRX-101468,2025-09-07,Air Jordan 1 Low,Military Blue,Used,140.0,107.37,walk-in retail,34.0,-32.629999999999995
1468,TRX-101469,2024-07-02,Air Jordan 1 High,Pine Green,Used,190.0,113.33,walk-in retail,46.0,-76.67
1469,TRX-101470,2025-07-10,Air Jordan 3 Retro,Bred,VNDS (Very Near Deadstock),201.0,225.3,stockx,14.0,24.30000000000001
1470,TRX-101471,2024-11-15,Air Jordan 11 Retro,Black Cat,VNDS (Very Near Deadstock),226.0,328.64,stadium goods,15.0,102.64
1471,TRX-101472,2024-12-14,Air Jordan 4 Retro,Concord,Deadstock (Brand New),215.0,628.88,stockx,10.0,413.88
1472,TRX-101473,2025-05-07,Air Jordan 1 High,Lost & Found,VNDS (Very Near Deadstock),181.0,214.9,stadium goods,39.0,33.900000000000006
1473,TRX-101474,2023-01-03,Air Jordan 4 Retro,Concord,VNDS (Very Near Deadstock),224.0,264.0,walk-in retail,16.0,40.0
1474,TRX-101475,2024-04-29,Air Jordan 1 Low,Mocha,VNDS (Very Near Deadstock),122.0,125.34,stockx,14.0,3.3400000000000034
1475,TRX-101476,2023-08-09,Air Jordan 4 Retro,Sail,VNDS (Very Near Deadstock),216.0,286.73,walk-in retail,35.0,70.73000000000002
1476,TRX-101477,2023-06-24,Air Jordan 4 Retro,Military Blue,Used,210.0,175.38,stockx,3.0,-34.620000000000005
1477,TRX-101478,2023-11-13,Air Jordan 3 Retro,Black Cat,Used,209.0,145.25,walk-in retail,12.0,-63.75
1478,TRX-101479,2025-05-16,Air Jordan 4 Retro,Sail,Deadstock (Brand New),212.0,659.22,walk-in retail,56.0,447.22
1479,TRX-101480,2023-12-11,Air Jordan 11 Retro,Chicago,Deadstock (Brand New),226.0,616.01,stadium goods,50.0,390.01
1480,TRX-101481,2023-12-16,Air Jordan 1 Low,Lost & Found,VNDS (Very Near Deadstock),138.0,203.43,kick hub 2026,48.0,65.43
1481,TRX-101482,2025-05-06,Air Jordan 11 Retro,Lost & Found,Deadstock (Brand New),229.0,412.71,walk-in retail,37.0,183.71
1482,TRX-101483,2024-09-16,Air Jordan 1 Low,Lost & Found,Deadstock (Brand New),120.0,156.29,kick hub 2026,19.0,36.28999999999999
1483,TRX-101484,2025-03-12,Air Jordan 3 Retro,Sail,Used,201.0,102.68,walk-in retail,55.0,-98.32
1484,TRX-101485,2025-07-06,Air Jordan 1 Low,Mocha,Deadstock (Brand New),120.0,297.26,goat,1.0,177.26
1485,TRX-101486,2023-04-10,Air Jordan 11 Retro,Mocha,Deadstock (Brand New),225.0,375.81,walk-in retail,18.0,150.81
1486,TRX-101487,2024-09-22,Air Jordan 3 Retro,Bred,Deadstock (Brand New),202.0,508.03,stadium goods,42.0,306.03
1487,TRX-101488,2024-06-18,Air Jordan 11 Retro,Black Cat,Used,227.0,129.48,stadium goods,49.0,-97.52
1488,TRX-101489,2024-02-04,Air Jordan 3 Retro,Sail,Deadstock (Brand New),203.0,331.93,stadium goods,22.0,128.93
1489,TRX-101490,2025-05-27,Air Jordan 1 High,Bred,Deadstock (Brand New),174.0,321.93,kick hub 2026,21.0,147.93
1490,TRX-101491,2024-10-24,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),220.0,319.39,goat,3.0,99.39
1491,TRX-101492,2023-09-22,Air Jordan 4 Retro,Bred,Deadstock (Brand New),213.0,535.9,stadium goods,43.0,322.9
1492,TRX-101493,2025-05-28,Air Jordan 1 High,Lost & Found,Deadstock (Brand New),173.0,224.12,kick hub 2026,48.0,51.120000000000005
1493,TRX-101494,2023-03-06,Air Jordan 11 Retro,Chicago,Used,230.0,151.78,walk-in retail,21.0,-78.22
1494,TRX-101495,2024-02-09,Air Jordan 1 Low,Mocha,Used,129.0,105.9,walk-in retail,26.0,-23.099999999999994
1495,TRX-101496,2024-06-15,Air Jordan 4 Retro,Military Blue,Deadstock (Brand New),222.0,314.09,goat,4.0,92.08999999999996
1496,TRX-101497,2024-01-11,Air Jordan 1 High,Lost & Found,Used,175.0,142.61,stadium goods,25.0,-32.389999999999986
1497,TRX-101498,2025-04-29,Air Jordan 3 Retro,Military Blue,Used,200.0,102.72,goat,7.0,-97.28
1498,TRX-101499,2023-07-05,Air Jordan 1 Low,Military Blue,VNDS (Very Near Deadstock),119.0,137.76,stadium goods,60.0,18.75999999999999
1499,TRX-101500,2023-09-09,Air Jordan 4 Retro,Sail,VNDS (Very Near Deadstock),218.0,257.41,kick hub 2026,48.0,39.410000000000025
1500,TRX-101501,2024-05-14,Air Jordan 11 Retro,Lost & Found,Used,226.0,170.07,walk-in retail,20.0,-55.93000000000001
1501,TRX-101502,2024-10-05,Air Jordan 4 Retro,Mocha,VNDS (Very Near Deadstock),221.0,272.06,stockx,8.0,51.06
1502,TRX-101503,2023-10-05,Air Jordan 1 High,Lost & Found,Deadstock (Brand New),189.0,525.84,stockx,8.0,336.84000000000003
1503,TRX-101504,2023-05-19,Air Jordan 4 Retro,Bred,VNDS (Very Near Deadstock),221.0,318.55,goat,11.0,97.55
1504,TRX-101505,2024-07-07,Air Jordan 11 Retro,Black Cat,Used,226.0,150.98,walk-in retail,55.0,-75.02000000000001
1505,TRX-101506,2025-08-27,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),173.0,214.17,walk-in retail,41.0,41.16999999999999
1506,TRX-101507,2025-05-10,Air Jordan 1 Low,Pine Green,Used,129.0,83.3,walk-in retail,52.0,-45.7
1508,TRX-101509,2024-05-15,Air Jordan 11 Retro,Sail,Deadstock (Brand New),227.0,518.14,walk-in retail,25.0,291.14
1509,TRX-101510,2024-10-27,Air Jordan 1 Low,Mocha,Used,124.0,105.6,stockx,5.0,-18.40000000000001
1510,TRX-101511,2025-07-25,Air Jordan 11 Retro,Bred,Deadstock (Brand New),225.0,714.33,kick hub 2026,20.0,489.33
1511,TRX-101512,2023-04-25,Air Jordan 11 Retro,Black Cat,VNDS (Very Near Deadstock),226.0,257.19,goat,1.0,31.19
1512,TRX-101513,2025-01-08,Air Jordan 11 Retro,Black Cat,VNDS (Very Near Deadstock),228.0,331.74,kick hub 2026,46.0,103.74
1513,TRX-101514,2024-12-02,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),229.0,304.62,walk-in retail,13.0,75.62
1514,TRX-101515,2023-12-20,Air Jordan 1 Low,Military Blue,Deadstock (Brand New),127.0,296.99,walk-in retail,27.0,169.99
1516,TRX-101517,2023-11-22,Air Jordan 3 Retro,Sail,Used,207.0,153.28,stadium goods,59.0,-53.72
1517,TRX-101518,2025-02-25,Air Jordan 3 Retro,Lost & Found,VNDS (Very Near Deadstock),209.0,201.15,walk-in retail,36.0,-7.849999999999994
1518,TRX-101519,2025-07-04,Air Jordan 1 High,Black Cat,Used,183.0,164.5,walk-in retail,45.0,-18.5
1519,TRX-101520,2024-01-01,Air Jordan 3 Retro,Pine Green,Deadstock (Brand New),204.0,307.34,goat,1.0,103.33999999999996
1520,TRX-101521,2024-04-09,Air Jordan 1 Low,Lost & Found,Used,127.0,112.72,goat,8.0,-14.28
1521,TRX-101522,2023-12-08,Air Jordan 4 Retro,Bred,Deadstock (Brand New),223.0,285.36,goat,8.0,62.360000000000014
1522,TRX-101523,2023-09-17,Air Jordan 11 Retro,Chicago,Used,230.0,120.63,walk-in retail,48.0,-109.37
1523,TRX-101524,2024-09-23,Air Jordan 11 Retro,Pine Green,Deadstock (Brand New),226.0,415.99,stadium goods,43.0,189.99
1524,TRX-101525,2024-03-24,Air Jordan 1 High,Pine Green,Used,189.0,160.52,walk-in retail,49.0,-28.47999999999999
1525,TRX-101526,2025-07-15,Air Jordan 1 Low,Concord,Used,136.0,95.87,walk-in retail,44.0,-40.13
1526,TRX-101527,2023-04-05,Air Jordan 3 Retro,Black Cat,Deadstock (Brand New),201.0,448.45,stockx,12.0,247.45
1527,TRX-101528,2024-05-23,Air Jordan 1 Low,Bred,Used,128.0,91.26,goat,13.0,-36.74
1528,TRX-101529,2023-01-15,Air Jordan 11 Retro,Sail,Used,228.0,188.39,stockx,8.0,-39.610000000000014
1529,TRX-101530,2025-04-05,Air Jordan 1 Low,Black Cat,VNDS (Very Near Deadstock),128.0,133.15,goat,11.0,5.150000000000006
1530,TRX-101531,2023-11-03,Air Jordan 3 Retro,Black Cat,VNDS (Very Near Deadstock),206.0,258.61,kick hub 2026,35.0,52.610000000000014
1531,TRX-101532,2023-08-04,Air Jordan 3 Retro,Sail,Deadstock (Brand New),202.0,297.88,stadium goods,31.0,95.88
1532,TRX-101533,2024-08-19,Air Jordan 1 Low,Bred,Deadstock (Brand New),127.0,206.11,stadium goods,52.0,79.11000000000001
1533,TRX-101534,2025-01-10,Air Jordan 11 Retro,Military Blue,Used,227.0,117.2,kick hub 2026,45.0,-109.8
1534,TRX-101535,2023-03-12,Air Jordan 1 Low,Pine Green,Deadstock (Brand New),114.0,352.41,stockx,13.0,238.41000000000005
1535,TRX-101536,2023-07-22,Air Jordan 1 High,Mocha,Deadstock (Brand New),174.0,564.07,goat,12.0,390.0700000000001
1536,TRX-101537,2025-02-08,Air Jordan 1 High,Lost & Found,Deadstock (Brand New),172.0,317.86,stockx,4.0,145.86
1537,TRX-101538,2025-08-19,Air Jordan 4 Retro,Military Blue,Used,222.0,142.7,stadium goods,46.0,-79.30000000000001
1538,TRX-101539,2025-06-29,Air Jordan 3 Retro,Concord,VNDS (Very Near Deadstock),207.0,244.09,goat,13.0,37.09
1539,TRX-101540,2024-03-02,Air Jordan 11 Retro,Black Cat,Deadstock (Brand New),226.0,511.59,goat,1.0,285.59
1540,TRX-101541,2025-09-10,Air Jordan 11 Retro,Bred,Used,229.0,136.85,goat,5.0,-92.15
1541,TRX-101542,2023-08-27,Air Jordan 11 Retro,Military Blue,VNDS (Very Near Deadstock),230.0,227.24,stockx,7.0,-2.759999999999991
1542,TRX-101543,2024-09-28,Air Jordan 3 Retro,Lost & Found,Used,209.0,112.24,goat,8.0,-96.76
1543,TRX-101544,2025-08-27,Air Jordan 4 Retro,Black Cat,Used,224.0,147.72,stadium goods,32.0,-76.28
1544,TRX-101545,2024-10-15,Air Jordan 3 Retro,Black Cat,VNDS (Very Near Deadstock),209.0,206.27,walk-in retail,32.0,-2.7299999999999898
1545,TRX-101546,2023-12-14,Air Jordan 11 Retro,Concord,Deadstock (Brand New),226.0,561.48,walk-in retail,51.0,335.48
1546,TRX-101547,2024-08-22,Air Jordan 1 High,Black Cat,Deadstock (Brand New),179.0,541.76,walk-in retail,54.0,362.76
1547,TRX-101548,2023-08-13,Air Jordan 1 High,Concord,VNDS (Very Near Deadstock),170.0,223.06,walk-in retail,58.0,53.06
1548,TRX-101549,2023-03-24,Air Jordan 4 Retro,Concord,VNDS (Very Near Deadstock),213.0,261.74,stockx,14.0,48.74000000000001
1549,TRX-101550,2024-04-27,Air Jordan 11 Retro,Mocha,Deadstock (Brand New),230.0,381.32,stockx,11.0,151.32
1550,TRX-101551,2025-01-17,Air Jordan 1 Low,Black Cat,VNDS (Very Near Deadstock),124.0,153.5,walk-in retail,54.0,29.5
1551,TRX-101552,2024-05-05,Air Jordan 3 Retro,Bred,VNDS (Very Near Deadstock),202.0,255.25,walk-in retail,24.0,53.25
1552,TRX-101553,2023-05-27,Air Jordan 1 Low,Mocha,Used,135.0,90.75,walk-in retail,5.0,-44.25
1553,TRX-101554,2024-05-31,Air Jordan 1 High,Military Blue,Used,188.0,111.89,goat,1.0,-76.11
1554,TRX-101555,2025-01-27,Air Jordan 1 High,Pine Green,Used,186.0,166.92,kick hub 2026,30.0,-19.080000000000013
1555,TRX-101556,2024-04-22,Air Jordan 1 High,Concord,Deadstock (Brand New),177.0,418.78,kick hub 2026,18.0,241.78
1556,TRX-101557,2024-01-01,Air Jordan 4 Retro,Military Blue,Used,213.0,155.8,stadium goods,11.0,-57.19999999999999
1557,TRX-101558,2024-02-17,Air Jordan 1 Low,Military Blue,Deadstock (Brand New),115.0,334.13,stockx,6.0,219.13
1558,TRX-101559,2023-11-30,Air Jordan 4 Retro,Sail,Used,214.0,168.89,kick hub 2026,26.0,-45.110000000000014
1559,TRX-101560,2024-04-25,Air Jordan 3 Retro,Concord,VNDS (Very Near Deadstock),206.0,274.38,kick hub 2026,14.0,68.38
1560,TRX-101561,2023-02-21,Air Jordan 3 Retro,Concord,Deadstock (Brand New),203.0,592.11,stockx,12.0,389.11
1561,TRX-101562,2025-06-07,Air Jordan 1 Low,Mocha,VNDS (Very Near Deadstock),129.0,147.79,walk-in retail,52.0,18.789999999999992
1562,TRX-101563,2023-07-30,Air Jordan 11 Retro,Mocha,Deadstock (Brand New),226.0,292.91,goat,4.0,66.91000000000003
1563,TRX-101564,2023-08-15,Air Jordan 4 Retro,Bred,VNDS (Very Near Deadstock),223.0,243.43,kick hub 2026,37.0,20.430000000000007
1564,TRX-101565,2025-02-21,Air Jordan 11 Retro,Chicago,VNDS (Very Near Deadstock),227.0,221.0,kick hub 2026,21.0,-6.0
1565,TRX-101566,2024-07-07,Air Jordan 3 Retro,Military Blue,Used,208.0,144.27,walk-in retail,60.0,-63.72999999999999
1566,TRX-101567,2023-07-29,Air Jordan 4 Retro,Mocha,VNDS (Very Near Deadstock),220.0,286.22,stockx,14.0,66.22000000000003
1567,TRX-101568,2025-03-02,Air Jordan 11 Retro,Lost & Found,Deadstock (Brand New),226.0,460.05,stockx,6.0,234.05
1568,TRX-101569,2023-01-25,Air Jordan 3 Retro,Concord,Deadstock (Brand New),203.0,251.01,goat,3.0,48.00999999999999
1569,TRX-101570,2024-11-11,Air Jordan 1 Low,Bred,Deadstock (Brand New),127.0,183.4,walk-in retail,17.0,56.400000000000006
1570,TRX-101571,2024-03-30,Air Jordan 1 High,Mocha,Used,189.0,154.14,stadium goods,33.0,-34.860000000000014
1571,TRX-101572,2023-12-05,Air Jordan 1 High,Pine Green,Used,174.0,115.15,kick hub 2026,53.0,-58.85
1572,TRX-101573,2023-10-04,Air Jordan 4 Retro,Black Cat,Used,220.0,162.74,walk-in retail,11.0,-57.25999999999999
1573,TRX-101574,2025-02-16,Air Jordan 11 Retro,Bred,VNDS (Very Near Deadstock),229.0,222.78,stockx,13.0,-6.219999999999999
1574,TRX-101575,2023-12-15,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),174.0,226.2,kick hub 2026,46.0,52.19999999999999
1575,TRX-101576,2023-11-25,Air Jordan 11 Retro,Chicago,Used,230.0,164.6,walk-in retail,31.0,-65.4
1576,TRX-101577,2023-05-07,Air Jordan 1 Low,Lost & Found,Used,138.0,100.67,stockx,7.0,-37.33
1577,TRX-101578,2024-08-01,Air Jordan 1 High,Pine Green,Deadstock (Brand New),170.0,299.88,walk-in retail,18.0,129.88
1578,TRX-101579,2023-06-27,Air Jordan 1 High,Chicago,VNDS (Very Near Deadstock),175.0,259.15,stockx,3.0,84.14999999999998
1579,TRX-101580,2025-07-23,Air Jordan 1 Low,Mocha,Deadstock (Brand New),112.0,308.25,stockx,4.0,196.25
1580,TRX-101581,2024-02-28,Air Jordan 1 High,Mocha,Deadstock (Brand New),186.0,320.7,goat,2.0,134.7
1581,TRX-101582,2024-06-19,Air Jordan 4 Retro,Lost & Found,VNDS (Very Near Deadstock),212.0,237.23,goat,8.0,25.22999999999999
1582,TRX-101583,2025-07-22,Air Jordan 3 Retro,Chicago,Used,202.0,159.27,stockx,3.0,-42.72999999999999
1583,TRX-101584,2025-02-13,Air Jordan 1 Low,Black Cat,Used,127.0,105.2,walk-in retail,50.0,-21.8
1584,TRX-101585,2025-01-23,Air Jordan 4 Retro,Lost & Found,Used,215.0,109.0,walk-in retail,28.0,-106.0
1585,TRX-101586,2024-03-13,Air Jordan 11 Retro,Concord,Used,227.0,137.11,kick hub 2026,26.0,-89.88999999999999
1586,TRX-101587,2025-03-08,Air Jordan 4 Retro,Chicago,Deadstock (Brand New),222.0,612.16,kick hub 2026,39.0,390.16
1587,TRX-101588,2023-08-08,Air Jordan 1 Low,Pine Green,Deadstock (Brand New),129.0,262.29,stadium goods,47.0,133.29000000000002
1588,TRX-101589,2025-09-11,Air Jordan 1 High,Sail,Deadstock (Brand New),178.0,223.97,stadium goods,30.0,45.97
1589,TRX-101590,2023-08-20,Air Jordan 1 Low,Pine Green,Deadstock (Brand New),122.0,399.26,stadium goods,10.0,277.26
1590,TRX-101591,2023-04-09,Air Jordan 4 Retro,Bred,Used,218.0,147.68,stadium goods,25.0,-70.32
1591,TRX-101592,2024-03-07,Air Jordan 1 High,Mocha,Deadstock (Brand New),176.0,485.87,stadium goods,17.0,309.87
1592,TRX-101593,2024-02-29,Air Jordan 4 Retro,Mocha,Used,222.0,145.02,stadium goods,19.0,-76.97999999999999
1593,TRX-101594,2023-12-18,Air Jordan 3 Retro,Lost & Found,Used,205.0,112.95,stadium goods,42.0,-92.05
1594,TRX-101595,2024-04-14,Air Jordan 4 Retro,Black Cat,Deadstock (Brand New),223.0,389.57,stockx,7.0,166.57
1595,TRX-101596,2023-10-20,Air Jordan 3 Retro,Mocha,Deadstock (Brand New),200.0,580.74,stockx,14.0,380.74
1596,TRX-101597,2024-03-21,Air Jordan 4 Retro,Pine Green,Used,217.0,149.75,stockx,14.0,-67.25
1597,TRX-101598,2024-08-18,Air Jordan 3 Retro,Pine Green,VNDS (Very Near Deadstock),203.0,284.67,kick hub 2026,38.0,81.67000000000002
1598,TRX-101599,2024-12-25,Air Jordan 4 Retro,Mocha,VNDS (Very Near Deadstock),212.0,226.82,walk-in retail,20.0,14.819999999999991
1599,TRX-101600,2025-02-14,Air Jordan 11 Retro,Bred,Used,230.0,141.87,stadium goods,59.0,-88.13
1600,TRX-101601,2023-04-01,Air Jordan 4 Retro,Concord,VNDS (Very Near Deadstock),218.0,228.12,walk-in retail,37.0,10.120000000000005
1601,TRX-101602,2024-07-31,Air Jordan 1 High,Military Blue,Used,182.0,153.12,stadium goods,5.0,-28.879999999999995
1602,TRX-101603,2025-08-15,Air Jordan 4 Retro,Mocha,Deadstock (Brand New),222.0,554.62,stadium goods,41.0,332.62
1603,TRX-101604,2024-10-29,Air Jordan 3 Retro,Lost & Found,Used,206.0,162.65,walk-in retail,47.0,-43.35
1604,TRX-101605,2025-09-23,Air Jordan 1 Low,Chicago,Deadstock (Brand New),118.0,232.64,goat,3.0,114.64
1605,TRX-101606,2024-10-12,Air Jordan 1 Low,Pine Green,VNDS (Very Near Deadstock),121.0,130.95,stadium goods,15.0,9.949999999999989
1606,TRX-101607,2023-11-06,Air Jordan 1 High,Chicago,VNDS (Very Near Deadstock),184.0,262.11,stadium goods,36.0,78.11000000000001
1607,TRX-101608,2025-02-03,Air Jordan 4 Retro,Bred,Used,212.0,152.0,goat,2.0,-60.0
1608,TRX-101609,2023-03-28,Air Jordan 4 Retro,Sail,Deadstock (Brand New),224.0,395.36,stadium goods,47.0,171.36
1609,TRX-101610,2025-09-15,Air Jordan 4 Retro,Bred,Deadstock (Brand New),224.0,723.4,stadium goods,10.0,499.4
1610,TRX-101611,2024-07-25,Air Jordan 1 High,Lost & Found,Used,178.0,89.91,walk-in retail,34.0,-88.09
1611,TRX-101612,2023-12-03,Air Jordan 1 High,Black Cat,Deadstock (Brand New),170.0,466.6,walk-in retail,26.0,296.6
1612,TRX-101613,2023-03-18,Air Jordan 1 High,Concord,Used,175.0,91.39,stadium goods,28.0,-83.61
1614,TRX-101615,2025-06-01,Air Jordan 3 Retro,Military Blue,Used,204.0,142.55,walk-in retail,58.0,-61.44999999999999
1615,TRX-101616,2024-03-02,Air Jordan 1 Low,Pine Green,Used,118.0,87.48,stadium goods,54.0,-30.52
1616,TRX-101617,2025-05-12,Air Jordan 4 Retro,Military Blue,VNDS (Very Near Deadstock),219.0,319.52,stadium goods,14.0,100.51999999999998
1617,TRX-101618,2024-12-20,Air Jordan 1 Low,Concord,Used,113.0,75.1,stadium goods,60.0,-37.900000000000006
1618,TRX-101619,2023-09-02,Air Jordan 1 High,Sail,Used,176.0,103.22,walk-in retail,21.0,-72.78
1619,TRX-101620,2024-07-05,Air Jordan 11 Retro,Mocha,Used,227.0,179.82,stockx,13.0,-47.18000000000001
1620,TRX-101621,2024-01-21,Air Jordan 4 Retro,Military Blue,Deadstock (Brand New),211.0,519.38,kick hub 2026,49.0,308.38
1621,TRX-101622,2025-01-22,Air Jordan 3 Retro,Mocha,VNDS (Very Near Deadstock),201.0,192.14,kick hub 2026,51.0,-8.860000000000014
1622,TRX-101623,2023-07-13,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),185.0,261.88,goat,10.0,76.88
1623,TRX-101624,2024-09-05,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),229.0,298.97,goat,3.0,69.97000000000003
1624,TRX-101625,2025-09-16,Air Jordan 11 Retro,Chicago,Used,225.0,145.55,stockx,2.0,-79.44999999999999
1625,TRX-101626,2024-07-01,Air Jordan 11 Retro,Pine Green,VNDS (Very Near Deadstock),227.0,254.05,goat,3.0,27.05000000000001
1626,TRX-101627,2025-01-28,Air Jordan 1 Low,Lost & Found,Used,138.0,97.05,kick hub 2026,13.0,-40.95
1627,TRX-101628,2023-07-11,Air Jordan 1 Low,Lost & Found,Used,137.0,77.63,stockx,10.0,-59.370000000000005
1628,TRX-101629,2025-05-15,Air Jordan 11 Retro,Mocha,Used,226.0,170.65,kick hub 2026,39.0,-55.35
1629,TRX-101630,2023-03-25,Air Jordan 1 Low,Chicago,Deadstock (Brand New),132.0,368.58,walk-in retail,13.0,236.58
1630,TRX-101631,2024-04-28,Air Jordan 4 Retro,Concord,Used,218.0,169.39,kick hub 2026,59.0,-48.610000000000014
1631,TRX-101632,2025-01-09,Air Jordan 11 Retro,Lost & Found,VNDS (Very Near Deadstock),229.0,249.51,goat,5.0,20.50999999999999
1632,TRX-101633,2024-03-26,Air Jordan 3 Retro,Mocha,VNDS (Very Near Deadstock),207.0,195.21,stadium goods,28.0,-11.789999999999992
1633,TRX-101634,2024-06-22,Air Jordan 1 Low,Bred,Used,139.0,103.36,walk-in retail,39.0,-35.64
1634,TRX-101635,2023-12-29,Air Jordan 4 Retro,Chicago,Deadstock (Brand New),218.0,436.8,stadium goods,27.0,218.8
1635,TRX-101636,2023-06-30,Air Jordan 1 High,Pine Green,VNDS (Very Near Deadstock),182.0,185.41,stadium goods,11.0,3.4099999999999966
1636,TRX-101637,2025-08-07,Air Jordan 4 Retro,Lost & Found,Used,222.0,131.12,goat,2.0,-90.88
1637,TRX-101638,2023-12-26,Air Jordan 4 Retro,Bred,VNDS (Very Near Deadstock),221.0,257.36,goat,4.0,36.360000000000014
1638,TRX-101639,2024-11-28,Air Jordan 11 Retro,Bred,Used,229.0,123.23,stadium goods,19.0,-105.77
1639,TRX-101640,2023-12-13,Air Jordan 4 Retro,Bred,VNDS (Very Near Deadstock),223.0,240.08,stockx,9.0,17.080000000000013
1640,TRX-101641,2025-06-16,Air Jordan 4 Retro,Concord,VNDS (Very Near Deadstock),218.0,237.71,walk-in retail,31.0,19.710000000000008
1641,TRX-101642,2023-08-04,Air Jordan 11 Retro,Military Blue,VNDS (Very Near Deadstock),229.0,253.27,stockx,12.0,24.27000000000001
1642,TRX-101643,2024-05-14,Air Jordan 1 High,Military Blue,Used,189.0,169.42,walk-in retail,40.0,-19.580000000000013
1643,TRX-101644,2025-01-10,Air Jordan 1 Low,Sail,VNDS (Very Near Deadstock),117.0,122.32,kick hub 2026,8.0,5.319999999999993
1644,TRX-101645,2024-01-18,Air Jordan 1 Low,Mocha,Used,113.0,93.8,stockx,3.0,-19.200000000000003
1645,TRX-101646,2025-09-13,Air Jordan 11 Retro,Black Cat,Used,229.0,169.04,goat,11.0,-59.96000000000001
1646,TRX-101647,2024-08-11,Air Jordan 1 Low,Pine Green,VNDS (Very Near Deadstock),120.0,146.7,kick hub 2026,48.0,26.69999999999999
